Question,Answer,Option 1,Option 2,Option 3,Option 4
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following was not one of &quot;The Magnificent Seven&quot;?,Clint Eastwood,Steve McQueen, Charles Bronson, Robert Vaughn, Clint Eastwood
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
Which of the following movies was not based on a novel by Stephen King? ,The Thing,Carrie, Misery, The Green Mile, The Thing
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
Which of the following movies was not based on a novel by Stephen King? ,The Thing,Carrie, Misery, The Green Mile, The Thing
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following was not one of &quot;The Magnificent Seven&quot;?,Clint Eastwood,Steve McQueen, Charles Bronson, Robert Vaughn, Clint Eastwood
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following was not one of &quot;The Magnificent Seven&quot;?,Clint Eastwood,Steve McQueen, Charles Bronson, Robert Vaughn, Clint Eastwood
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following movies was not based on a novel by Stephen King? ,The Thing,Carrie, Misery, The Green Mile, The Thing
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following is not the name of a &quot;Bond Girl&quot;? ,Vanessa Kensington,Pam Bouvier, Mary Goodnight, Wai Lin, Vanessa Kensington
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
Which of the following was not one of &quot;The Magnificent Seven&quot;?,Clint Eastwood,Steve McQueen, Charles Bronson, Robert Vaughn, Clint Eastwood
Which of the following was not one of &quot;The Magnificent Seven&quot;?,Clint Eastwood,Steve McQueen, Charles Bronson, Robert Vaughn, Clint Eastwood
Daniel Radcliffe became a global star in the film industry due to his performance in which film franchise?,Harry Potter,Ted, Spy Kids, Pirates of the Caribbean , Harry Potter
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
What breed of dog was Marley in the film &quot;Marley &amp; Me&quot; (2008)?,Labrador Retriever,Golden Retriever, Dalmatian, Shiba Inu, Labrador Retriever
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
Which English guitarist has the nickname &quot;Slowhand&quot;?,Eric Clapton,Mark Knopfler, Jeff Beck, Jimmy Page, Eric Clapton
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
Who wrote the Sinead O`Connor hit &#039;Nothing Compares 2 U&#039;?,Prince,Michael Jackson, Cameo, Rick James, Prince
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
"In the  Rossini opera, what was the name of &#039;The Barber of Seville&#039;?",Figaro,Angelo, Fernando, Dave, Figaro
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
Who wrote the Sinead O`Connor hit &#039;Nothing Compares 2 U&#039;?,Prince,Michael Jackson, Cameo, Rick James, Prince
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
"In the  Rossini opera, what was the name of &#039;The Barber of Seville&#039;?",Figaro,Angelo, Fernando, Dave, Figaro
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
"In the  Rossini opera, what was the name of &#039;The Barber of Seville&#039;?",Figaro,Angelo, Fernando, Dave, Figaro
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
"In the  Rossini opera, what was the name of &#039;The Barber of Seville&#039;?",Figaro,Angelo, Fernando, Dave, Figaro
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
"Who had a 1969 top 5 hit with the song,  &#039;A Boy Named Sue&#039;?",Johnny Cash,Bob Dylan, Willie Nelson, Kris Kristofferson, Johnny Cash
"In the  Rossini opera, what was the name of &#039;The Barber of Seville&#039;?",Figaro,Angelo, Fernando, Dave, Figaro
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
The music group Daft Punk got their name from a negative review they recieved.,TRUE,False, True,,
Who wrote the Sinead O`Connor hit &#039;Nothing Compares 2 U&#039;?,Prince,Michael Jackson, Cameo, Rick James, Prince
What is not a wind instrument?,Viola,Oboe, Trombone, Duduk, Viola
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
Who played Agent Fox Mulder in the TV sci-fi drama &quot;The X-Files&quot;?,David Duchovny,Gillian Anderson, Robert Patrick, Mitch Pileggi, David Duchovny
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
Which character was played by Dustin Diamond in the sitcom &#039;Saved by the Bell&#039;?,Screech,Zack, Mr. Belding, A.C. Slater, Screech
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
Which character was played by Dustin Diamond in the sitcom &#039;Saved by the Bell&#039;?,Screech,Zack, Mr. Belding, A.C. Slater, Screech
"In the TV show &#039;M*A*S*H&#039;, what was the nickname of Corporal Walter O&#039;Reilly?",Radar,Hawkeye, Hot Lips, Trapper, Radar
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
"In the TV show &#039;M*A*S*H&#039;, what was the nickname of Corporal Walter O&#039;Reilly?",Radar,Hawkeye, Hot Lips, Trapper, Radar
"In the TV show &quot;Cheers&quot;, Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets, Baltimore Orioles, Milwaukee Brewers, Boston Red Sox
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
"In the TV show &quot;Cheers&quot;, Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets, Baltimore Orioles, Milwaukee Brewers, Boston Red Sox
"In the TV show &quot;Cheers&quot;, Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets, Baltimore Orioles, Milwaukee Brewers, Boston Red Sox
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
"In the TV show &quot;Cheers&quot;, Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets, Baltimore Orioles, Milwaukee Brewers, Boston Red Sox
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
"In the TV show &quot;Cheers&quot;, Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets, Baltimore Orioles, Milwaukee Brewers, Boston Red Sox
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
"In the TV show &quot;Cheers&quot;, Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets, Baltimore Orioles, Milwaukee Brewers, Boston Red Sox
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
"In the TV show &quot;Cheers&quot;, Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets, Baltimore Orioles, Milwaukee Brewers, Boston Red Sox
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
"In the TV show &quot;Cheers&quot;, Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets, Baltimore Orioles, Milwaukee Brewers, Boston Red Sox
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
What was the name of the police officer in the cartoon &quot;Top Cat&quot;?,Dibble,Barbrady, Mahoney, Murphy, Dibble
"In the TV show &quot;Cheers&quot;, Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets, Baltimore Orioles, Milwaukee Brewers, Boston Red Sox
What year was the game Team Fortress 2 released?,2007,2009, 2005, 2010, 2007
What&#039;s the name of the main protagonist in the &quot;Legend of Zelda&quot; franchise?,Link,Mario, Zelda, Pit, Link
Peter Molyneux was the founder of Bullfrog Productions.,TRUE,False, True,,
What&#039;s the name of the main protagonist in the &quot;Legend of Zelda&quot; franchise?,Link,Mario, Zelda, Pit, Link
"What is the name of &quot;Team Fortress 2&quot; update, in which it became Free-to-play?",&Uuml;ber Update,Pyromania Update, Mann-Conomy Update, Engineer Update, &Uuml;ber Update
"What is the name of &quot;Team Fortress 2&quot; update, in which it became Free-to-play?",&Uuml;ber Update,Pyromania Update, Mann-Conomy Update, Engineer Update, &Uuml;ber Update
How many games in the Crash Bandicoot series were released on the original Playstation?,5,4, 3, 6, 5
What year was the game Team Fortress 2 released?,2007,2009, 2005, 2010, 2007
In which series of games do you collect souls to empower you and buy weaponry and armor with?,Souls ,Final Fantasy , Monster Hunter, The Legend of Zelda, Souls 
Which game did &quot;Sonic The Hedgehog&quot; make his first appearance in?,Rad Mobile,Sonic The Hedgehog, Super Mario 64, Mega Man, Rad Mobile
How many games in the Crash Bandicoot series were released on the original Playstation?,5,4, 3, 6, 5
How many games in the Crash Bandicoot series were released on the original Playstation?,5,4, 3, 6, 5
Peter Molyneux was the founder of Bullfrog Productions.,TRUE,False, True,,
Who created the digital distribution platform Steam?,Valve,Pixeltail Games, Ubisoft, Electronic Arts, Valve
Which Greek letter represents the &quot;Half-Life&quot; logo?,Lambda,Omega, Alpha, Sigma, Lambda
The Mann Co. Store from Team Fortress 2 has the slogan &quot;We hire mercenaries and get in fights&quot;.,FALSE,True, False,,
How many games in the Crash Bandicoot series were released on the original Playstation?,5,4, 3, 6, 5
Peter Molyneux was the founder of Bullfrog Productions.,TRUE,False, True,,
What&#039;s the name of the main protagonist in the &quot;Legend of Zelda&quot; franchise?,Link,Mario, Zelda, Pit, Link
"In the game Half-Life, which enemy is showcased as the final boss?",The Nihilanth,Dr. Wallace Breen, G-Man, The Gonarch, The Nihilanth
In which series of games do you collect souls to empower you and buy weaponry and armor with?,Souls ,Final Fantasy , Monster Hunter, The Legend of Zelda, Souls 
How many games in the Crash Bandicoot series were released on the original Playstation?,5,4, 3, 6, 5
"In the Nintendo DS game &#039;Ghost Trick: Phantom Detective&#039;, what is the name of the hitman seen at the start of the game?",Nearsighted Jeego,One Step Ahead Tengo, Missile, Cabanela, Nearsighted Jeego
